word,modularity_class
often_times,3
blurred,1
specifically_talking,1
stand_corrected,2
fairly_easy,3
complete_lack,0
pretty_darn,5
sounds_pretty,5
an_absolute,2
quite_frankly,0
certain,3
practically_impossible,4
positive_aspects,4
quite_often,5
completely_subjective,2
totally_agree,5
an_opinion,2
almost_universally,3
wondering_why,5
wonders,5
mainly,3
extremely_hard,4
defined_by,1
any_semblance,0
certain_degree,3
chance,4
mainly_due,2
extremely_valuable,4
making_assumptions,2
clear_cut,1
random_events,4
certain_percentage,3
bet,4
certain_parts,3
wasnt_clear,1
perfect_analogy,0
quite_rare,3
all_likelihood,4
depend_upon,3
inevitability,3
nearly_always,3
perfectly_capable,0
marginally_better,4
almost_all,5
specific_instances,1
occasionally,5
likelihood_of,4
was_hoping,1
entirely_arbitrary,1
specific_example,1
underlying_assumption,2
an_obvious,1
perfection,0
completely_false,0
perfectly_healthy,0
worst_possible,4
these_questions,2
accurately_represent,1
generally_considered,3
potential_consequences,4
genuine_question,1
only_option,4
theoretical,2
optional,0
almost_everywhere,5
directly_affected,0
never_seen,5
may_seem,3
purely_based,2
pretty_cool,5
hypothetical_scenarios,4
can_assure,5
completely_innocent,0
unsure,1
complete_bullshit,0
wont_necessarily,3
indeed,2
explicit,1
totally,0
high_chance,4
fundamental_flaw,0
proof,2
never,5
has_ever,5
proven_false,2
anywhere_near,5
betting_on,4
done_correctly,0
random,4
distinction,1
entire_purpose,0
precisely_because,1
questioning_whether,2
distinctly_different,1
completely_untrue,0
never_claimed,0
clear,1
kind_of,5
get_anywhere,5
simple_question,2
total_amount,4
default_assumption,2
was_unclear,1
entirety_of,0
hesitant,4
pretty_obvious,1
never_happened,5
entirely_sure,1
extremely_rare,4
argument_assumes,2
particularly_interested,1
quite_simple,1
hope,5
highly_likely,4
low_probability,4
potential_threat,4
percent_chance,4
doesnt_necessarily,3
pretty_strong,5
almost_certainly,4
unclear,1
sort,0
confuse,1
perfectly_happy,0
certain_amount,3
nowhere_else,5
could_theoretically,4
specifically_designed,0
never_experienced,5
guessing,4
extremely_effective,4
approximately,4
correct_answer,2
accurately_describe,1
depend,3
try_again,0
any_sane,0
necessarily_mean,0
ever_hear,5
subjective_opinion,2
important_distinction,1
depending_upon,3
generally_speaking,3
perhaps,3
can_barely,5
certain_topics,3
may_sound,3
am_confident,3
ever_worked,5
any_meaningful,0
may_be,3
lot_more,5
been_proven,2
always,5
an_approximation,2
unquestionably,2
exact_reason,2
vary,3
doesnt_appear,2
especially_true,3
certain_groups,3
accurately,2
seems_unlikely,4
hypothetical_situation,4
fundamentally_wrong,0
vary_from,3
practically_speaking,4
specifically_targeting,1
truthfully,2
most_definitely,3
universally_true,2
almost_entirely,1
guaranteed,4
seems_reasonable,1
assumptions,2
exactly,1
fairly_simple,1
best_option,4
especially_since,4
partly,3
pretty_funny,5
feel_confident,3
alot_of,5
total,4
fairly_certain,0
any_indication,2
higher_probability,4
almost_always,3
certain_situations,3
distinct,1
assumptions_about,2
vary_wildly,3
incredibly_unlikely,4
dont_confuse,0
definitely,5
questions_asked,2
specifically_target,1
sort_of,5
certainly_possible,4
hypotheticals,4
trying_to,1
certain_level,3
especially_given,1
technically_true,0
often_leads,3
nothing_else,0
entire_point,0
humble_opinion,3
precise,1
precisely,1
potential_harm,4
almost_nonexistent,4
perfectly_reasonable,0
doubts,2
must,3
fact_remains,3
pretty_much,5
practically_every,5
options,4
ever_existed,5
technically_possible,4
arbitrary_lines,1
uncertainty,2
am_trying,1
serious_question,1
seems,1
interesting_question,2
sincerely_hope,5
self_confidence,3
answer_questions,2
certain_traits,3
not_sure,1
nothing_wrong,0
confusing,1
wholly,1
or_indirectly,0
any_stretch,0
pretty_awesome,5
hypothetical_future,4
well_defined,1
perfectly_honest,5
unpopular_opinion,5
probably_wouldnt,4
specifically_targeted,1
completely_unfounded,2
wonder_if,5
definitive_proof,2
pretty_decent,5
particularly_relevant,1
perfectly_valid,2
strong_opinion,2
complete_nonsense,0
indefinitely,4
any_number,4
total_bullshit,0
absolute_best,0
clearly_stated,1
no_proof,2
only_marginally,4
complete_opposite,0
arbitrary_line,1
seem_like,4
factually_incorrect,2
proving,2
appear,1
kind,5
incomplete,2
directly_contradicts,2
viable_options,4
fairly_low,4
particularly_useful,1
theres_always,4
immediately_obvious,1
especially_when,5
most_obvious,1
may_vary,3
perfect_solution,0
sorta,5
extremely_complex,4
vary_greatly,3
often,3
blurry,1
confusion,1
completely_missed,0
prove,2
stop_trying,1
kinda_weird,5
will_undoubtedly,4
completely_meaningless,0
entirely_dependent,4
purely_subjective,2
proven,2
probably_shouldnt,4
couldnt_possibly,2
second_chance,4
damn_sure,5
dubious,2
completely_unreasonable,0
abundantly_clear,1
temporarily,4
overall,4
best_possible,4
completely_unnecessary,0
these_sorts,1
clearly_shows,1
pure_speculation,2
surely,3
high_likelihood,4
sometimes,3
dissenting_opinion,2
virtually_any,4
virtually_impossible,4
certain_aspects,3
an_accurate,2
pretty_close,4
never_felt,5
fundamental_problem,0
ever_encountered,5
remember_correctly,5
almost_half,4
defined,1
more_often,4
theoretically_possible,4
positively,4
precisely_why,1
was_wondering,1
almost_exclusively,5
extremely_complicated,4
clearly_defined,1
proven_wrong,2
same_exact,0
yet_somehow,0
proved,2
fairly_recently,5
makes_perfect,3
entirely_reasonable,1
absolutely_ridiculous,0
sometime,5
nothing_special,0
incomplete_information,2
may_differ,3
distinction_between,1
certain_types,3
totally_normal,5
more_precise,1
really_depends,3
arbitrary_rules,1
seeming,1
try,5
supposed_to,0
perfect_sense,0
barely,5
pretty_easy,5
real_possibility,4
completely_ignored,0
particularly,3
entirely_different,1
unlikely_event,4
almost_guarantee,4
appearing,2
possible_outcomes,4
will_inevitably,3
hopefully,4
very_skeptical,2
definitive,2
definitively_say,2
absolutely,0
many_variables,2
assured,4
directly_involved,0
confused_by,1
somehow_managed,0
theories,2
hesitant_to,4
absolute,2
automatically_assume,2
except_perhaps,1
making_sure,0
questioning,2
wondered_why,5
entire_argument,0
specific_examples,1
fundamental_disagreement,1
necessarily_true,3
followup_question,2
extremely_uncomfortable,4
indirect,0
always_been,5
nearly_as,5
extremely_unlikely,4
accurately_predict,2
random_person,4
dont_necessarily,3
cant_possibly,2
totally_understand,5
perfectly_logical,0
two_possibilities,4
random_sample,4
certain_characteristics,3
generally_regarded,3
nearly,4
personal_opinion,2
prove_beyond,2
potentially,4
says_nothing,0
ever_heard,5
am_skeptical,2
truly,0
cant_prove,2
hold_true,3
probability,4
specifically_referring,1
except_maybe,0
must_admit,3
hardly_call,3
betting,4
apparently,1
varies_from,3
pretty_silly,1
somewhat_arbitrary,1
clarifying_question,1
extremely_limited,4
extremely_dangerous,4
totally_fine,0
seemingly,1
typically_associated,3
always_thought,5
explicitly_state,1
possibly,4
somehow,0
meaningful_distinction,1
might_be,4
somewhat,3
perfectly_possible,3
highly_doubt,4
possibility,4
objective_truths,2
basic_facts,2
unknowingly,4
literally_nothing,0
hypothetical_scenario,4
pretty_confident,5
false_assumptions,2
becomes_clear,1
theres_nothing,0
ever_watched,5
somehow_magically,0
generally_accepted,2
fact_checking,2
grand_total,4
almost_never,5
hypothetically,4
can_vary,3
specific_scenario,1
theoretically,4
higher_chance,4
completely,0
fact,0
extremely_high,4
virtually_no,4
rhetorical_question,2
perfectly_natural,0
correction,2
probable_cause,2
explicitly,1
completely_irrelevant,0
lots,5
vaguely,1
seriously_doubt,4
extremely_difficult,4
used_correctly,2
whenever_possible,3
directly_contradict,1
distinctions,1
completely_useless,0
fairly_obvious,1
suppose,4
certain_race,3
obviously,1
usually,5
potential_future,4
temporary,3
painfully_obvious,0
completely_ignoring,0
quite,3
absolute_minimum,3
blatant,0
blatantly_obvious,2
has_nothing,0
appeared,2
ever_been,5
wonder_whether,1
truly_believes,0
depends_entirely,3
everywhere,5
absolute_certainty,2
differently_depending,3
specific_instance,1
too_vague,1
entirety,0
pretty_good,5
never_happen,5
specific_details,1
occasional,5
simple_fact,0
fairly_well,1
almost_immediately,5
educated_guesses,2
be_corrected,2
depending,3
specific_situation,1
correctly,2
generally_understood,1
potentially_dangerous,4
very_unlikely,4
completely_fine,0
shaky,2
any_form,0
implicitly,1
factual_statement,2
quite_clear,1
pure,0
wondering,1
opinion_piece,2
uncertain,2
apparent,1
an_assumption,2
obvious_answer,1
wasnt_trying,1
certain_type,3
specific_set,1
pretty_sure,5
confidence,3
unknown,4
entirely_possible,4
reasonable_assumption,2
doesnt_guarantee,4
sum_total,0
certain_number,3
ever_known,5
probabilities,4
supposed,2
little_confused,1
becomes_apparent,3
possibilities,4
make_assumptions,2
borderline,5
never_ending,5
seems_unfair,1
perfect_example,0
could_potentially,4
ever_experienced,5
extremely_small,4
especially,5
any_significant,4
distinct_from,1
generally,3
never_thought,5
pretty_common,5
gonna_try,5
anytime,5
seems_silly,1
factually_inaccurate,2
actual_facts,2
pretty_quickly,5
nonzero_chance,4
particularly_care,1
complete_waste,0
just_wondering,1
random_chance,4
pretty_fucked,5
any_circumstance,0
honest_question,1
sad_truth,5
truly_believe,0
gone_forever,0
false_positives,4
partly_due,4
understand_correctly,1
very_vague,1
absolute_truth,2
never_argued,0
fairly_common,1
certain_ways,3
forever,0
completely_different,0
explicitly_states,1
doubts_about,2
overall_quality,4
without_any,2
all_sorts,1
more_accurate,2
clear_indication,1
correct,2
an_extremely,4
exact,1
typically,3
most_certainly,0
contingent,3
prove_otherwise,2
marginal,4
entire_field,0
partly_responsible,0
always_seemed,5
completely_ignore,0
completely_disregard,0
fairly_large,5
dunno,5
directly_address,1
totally_okay,5
popular_opinion,2
perfectly_normal,0
nothing_compared,0
directly_responsible,0
best_bet,4
hoping,4
pretty_useless,5
treated_fairly,0
perfectly_justified,0
fundamental_part,1
assurance,4
purely,0
pretty_solid,5
fact_check,2
proof_lies,2
accuracy,2
pretty_easily,4
confuses,1
absolutely_correct,2
ever_tried,5
random_guy,5
with_certainty,2
perfectly,0
ever,0
might_sound,5
purely_anecdotal,5
specifics,1
any_kind,5
adds_nothing,0
purely_logical,2
depending_on,3
extremely_important,4
assumes,2
anytime_soon,4
must_follow,3
very_clearly,1
quite_possibly,4
universal_truth,2
absolute_terms,4
any_sort,5
randomly_selected,4
probably,4
positive_light,4
never_forget,5
possible_outcome,4
undeniable,2
real_question,2
knows_exactly,0
statistically_unlikely,4
anywhere_close,0
totally_unrelated,0
some_random,4
fairly_confident,4
absolutely_no,0
pure_logic,2
pretty_straightforward,1
extremely_useful,4
questions,2
undeniably,1
likely,4
proves,2
isnt_true,2
until_proven,2
ever_read,5
fairly_clear,1
never_bothered,5
extremely_biased,4
certain_conditions,3
feasible,4
wont_ever,5
contingent_upon,3
an_inevitability,4
marginally,4
quite_easily,4
questioned,2
ambiguous,1
ever_had,5
certainty,2
purity,0
extremely_popular,4
blatantly,0
am_guessing,2
quite_possible,4
certain_contexts,3
definitely_agree,5
more_accurately,1
absolute_worst,5
wonder,5
fuzzy,1
nearly_years,2
nothing,0
complete_control,0
fairly,3
factually_correct,2
an_entire,0
fundamentally,1
potentially_harmful,3
almost_invariably,5
highly_unlikely,4
try_harder,5
specific_subset,1
obvious_reasons,3
fundamental_difference,1
inevitably_leads,3
vary_widely,3
possible_explanations,2
evident,2
exact_same,0
variables,2
almost_zero,4
perfectly_legitimate,0
necessary_condition,3
obvious_example,3
three_options,4
asking_questions,2
assumptions_based,2
always_wondered,5
directly_linked,0
completely_eliminate,0
very_clear,1
seems_obvious,1
vague_term,1
perfectly_acceptable,0
never_occurred,5
inevitable,4
guarantees,4
varies,3
seems_odd,1
almost_every,5
certain_way,3
very_specific,1
doubtful,4
good_chance,4
defined_as,1
an_entirely,1
undoubtedly,3
infallible,2
false_positive,4
fundamental_differences,1
positive_outcomes,4
anywhere,5
directly_affect,0
exact_numbers,4
never_had,5
pretty_broad,1
facts,2
nearly_enough,0
truly_believed,0
never_worked,5
specific_circumstances,1
objective_truth,2
totally_fair,5
absolutely_zero,0
ever_played,5
directly_caused,0
truly_random,4
factual,2
an_option,4
exact_opposite,0
entirely_unrelated,1
certain_fields,3
never_existed,0
an_unknown,4
absolutely_insane,0
wondering_if,5
specific,1
an_incomplete,2
distinctions_between,1
factual_basis,2
completely_independent,0
seems_strange,1
virtually_nothing,0
partly_because,5
seems_like,1
almost_impossible,4
never_said,0
confused,1
