Id,modularity_class
certainly,3
must,3
may_be,3
will_always,3
may,3
extremely_important,3
generally,3
obviously,3
certain,3
usually,3
certain_way,3
necessarily,3
confident,3
inevitable,3
depends_on,3
really_depends,3
as_possible,3
certain_amount,3
depending_on,3
must_be,3
suppose,3
specifics,3
indeed,3
not_necessarily,3
necessary,3
depend_on,3
generally_speaking,3
depends,3
holds_true,3
would_depend,3
typically,3
certain_characteristics,3
completed,3
will_inevitably,3
confidence,3
obvious_reasons,3
certain_groups,3
vary,3
especially_true,3
certain_degree,3
arent_necessarily,3
isnt_necessarily,3
must_accept,3
depend_upon,3
certain_level,3
varies_by,3
damn_sure,3
certain_threshold,3
certain_types,3
certain_aspects,3
certain_topics,3
certain_behaviors,3
question_becomes,3
varies,3
inevitably_leads,3
perfect_sense,3
inevitably,3
necessarily_mean,3
depending,3
certain_areas,3
wont_necessarily,3
fundamentally_flawed,3
feel_confident,3
certain_situations,3
necessary_evil,3
absolutely_necessary,3
certain_extent,3
completely_eliminate,3
virtually_every,3
inevitability,3
most_obvious,3
certain_circumstances,3
contingent,3
can_vary,3
certain_number,3
certain_parts,3
depend,3
often_leads,3
certain_race,3
an_inevitability,3
seems_odd,3
specific_situation,3
entirely_dependent,3
certain_traits,3
certain_type,3
vary_greatly,3
certain_ways,3
will_vary,3
necessary_condition,3
strictly_necessary,3
depends_entirely,3
certain_percentage,3
may_vary,3
almost_everywhere,3
certain_conditions,3
varies_depending,3
certain_kinds,3
necessary_component,3
completely_justified,3
hesitate,3
specific_circumstances,3
depends_upon,3
perfect_analogy,3
varies_from,3
extremely_useful,3
exact_numbers,3
may_differ,3
directly_correlated,3
differently_depending,3
obvious_solution,3
depending_upon,3
potentially_harmful,3
perfectly_natural,3
self_confidence,3
absolute_minimum,3
vary_from,3
must_follow,3
completely_dependent,3
certain_fields,3
vary_widely,3
underlying_assumption,3
vary_wildly,3
certain_contexts,3
perfectly,0
absolutely_nothing,0
completely,0
nothing,0
perfect,0
entire_point,0
directly,0
completely_missed,0
theres_nothing,0
has_nothing,0
somehow,0
quite_easily,0
entire,0
an_entire,0
real_question,0
done_nothing,0
unquestionably,0
fundamental_flaw,0
directly_linked,0
directly_tied,0
make_sure,0
absolutely_zero,0
infallible,0
never_said,0
nice_try,0
most_definitely,0
completely_ignores,0
completely_agree,0
fundamental_problem,0
entire_group,0
any_circumstance,0
completely_ignored,0
perfectly_ok,0
doesnt_necessarily,0
directly_involved,0
yet_somehow,0
completely_useless,0
any_form,0
nothing_wrong,0
never_intended,0
perfectly_reasonable,0
completely_fine,0
makes_perfect,0
an_indirect,0
altogether,0
has_proven,0
indirect,0
indirectly,0
making_sure,0
completely_irrelevant,0
specifically_mentioned,0
technically_correct,0
entire_argument,0
completely_valid,0
literally_nothing,0
interesting_question,0
perfectly_valid,0
completely_ignore,0
try_harder,0
completely_false,0
or_indirectly,0
completely_disagree,0
humanly_possible,0
abundantly_clear,0
entire_concept,0
partly_responsible,0
purity,0
exact_reason,0
perfectly_okay,0
never_argued,0
truly_believe,0
complete_bullshit,0
completely_ignoring,0
sum_total,0
might_sound,0
completely_ignorant,0
pure_speculation,0
try_again,0
perfection,0
directly_related,0
directly_affected,0
stop_trying,0
complete_waste,0
fact_remains,0
technically_true,0
completely_untrue,0
directly_affects,0
truly_believed,0
entire_purpose,0
nothing_inherently,0
completely_innocent,0
perfectly_clear,0
quite_difficult,0
directly_affect,0
never_claimed,0
completely_ridiculous,0
little_confused,0
perfectly_logical,0
directly_responsible,0
fundamentally_wrong,0
accomplishes_nothing,0
completely_unnecessary,0
any_bearing,0
perfectly_rational,0
perfectly_justified,0
completely_unrelated,0
cannot_possibly,0
complete_disregard,0
says_nothing,0
perfectly_possible,0
directly_contradicts,0
completely_missing,0
truly_believes,0
perfectly_capable,0
perfectly_acceptable,0
full_potential,0
specifically_designed,0
particularly_relevant,0
overall_quality,0
completely_pointless,0
designed_specifically,0
often_overlooked,0
totally_separate,0
directly_caused,0
treated_fairly,0
completely_independent,0
totally_irrelevant,0
arbitrarily_decided,0
hypothetical_scenarios,0
totally_unrelated,0
clear_indication,0
a_lot,5
absolutely_no,5
will_never,5
supposed_to,5
truly,5
try,5
maybe,5
quite,5
always,5
pretty_much,5
pretty_solid,5
ever,5
sometimes,5
totally,5
often,5
pretty,5
quite_literally,5
everywhere_else,5
definitely,5
ever_since,5
especially,5
seems_like,5
guess,5
fairly_large,5
exact_same,5
fairly,5
never,5
hope,5
kind_of,5
seem_like,5
lots_of,5
absolutely,5
particularly,5
some_kind,5
mainly,5
especially_when,5
ever_existed,5
totally_agree,5
alot,5
everywhere,5
anywhere,5
pretty_good,5
never_thought,5
barely,5
lot_of,5
hardly_ever,5
practically,5
sort_of,5
remember_correctly,5
except_maybe,5
never_been,5
trying,5
almost_every,5
nearly,5
has_ever,5
anywhere_near,5
dunno,5
apparently,5
especially_since,5
kinda,5
can_barely,5
almost,5
pretty_terrible,5
fairly_certain,5
nowhere,5
frankly,5
nowhere_near,5
pretty_sure,5
virtually_all,5
virtually_impossible,5
pretty_easy,5
almost_nothing,5
seemed,5
pretty_decent,5
never_had,5
just_wondering,5
ever_seen,5
hardly,5
never_seen,5
almost_all,5
never_once,5
forever,5
ever_had,5
never_saw,5
wonder_how,5
most_certainly,5
pretty_easily,5
occasionally,5
exact_opposite,5
entirely_sure,5
fairly_easily,5
could_possibly,5
highly_doubt,5
ever_hear,5
serious_question,5
ever_heard,5
truly_understand,5
perfectly_fine,5
totally_fine,5
pretty_funny,5
ever_met,5
kind,5
almost_always,5
wonder_why,5
true_believers,5
some_random,5
fairly_quickly,5
invariably,5
probably_shouldnt,5
some_sort,5
especially_considering,5
anytime,5
whole_lot,5
any_kind,5
arent_supposed,5
always_been,5
desperately_trying,5
almost_immediately,5
quite_possibly,5
anywhere_else,5
lots,5
never_heard,5
complete_opposite,5
does_seem,5
pretty_soon,5
seemed_like,5
never_existed,5
any_indication,5
mainly_because,5
positive_light,5
quite_possible,5
may_seem,5
theres_lots,5
always_assumed,5
perfect_example,5
nearly_every,5
may_sound,5
no_doubt,5
any_significant,5
ever_happened,5
get_anywhere,5
rhetorical_question,5
nearly_as,5
occasional,5
ever_been,5
entirety_of,5
hesitant,5
partly,5
pretty_rare,5
pretty_quickly,5
never_happened,5
complete_lack,5
temporarily,5
any_sort,5
partly_because,5
mainly_due,5
ever_tried,5
readily_apparent,5
fun_fact,5
truthfully,5
wondering,5
pretty_hard,5
probably_wont,5
fairly_common,5
nearly_enough,5
any_stretch,5
sort,5
wonder,5
alot_of,5
pretty_weak,5
somehow_magically,5
almost_entirely,5
almost_never,5
never_met,5
grand_total,5
nothing_else,5
pretty_fucking,5
anywhere_close,5
anytime_soon,5
going_anywhere,5
couldnt_possibly,5
hesitant_to,5
almost_completely,5
pretty_close,5
done_correctly,5
rest_assured,5
sorts,5
sometime,5
pretty_big,5
virtually,5
exactly_zero,5
ever_worked,5
quite_frankly,5
virtually_no,5
wont_ever,5
everytime,5
assure,5
perfectly_happy,5
somehow_managed,5
completely_honest,5
ever_increasing,5
sounds_pretty,5
unknowingly,5
borderline,5
absolutely_ridiculous,5
extremely_popular,5
these_sorts,5
wondering_how,5
nearly_all,5
absolutely_terrible,5
honest_question,5
certainly_wouldnt,5
almost_universally,5
pretty_confident,5
definitely_agree,5
wondering_why,5
isnt_perfect,5
ever_read,5
painfully_obvious,5
never_ending,5
seeming,5
absolute_best,5
nearly_impossible,5
hesitate_to,5
never_knew,5
quite_obvious,5
almost_zero,5
extremely_hard,5
fairly_easy,5
pretty_cool,5
humble_opinion,5
never_experienced,5
extremely_easy,5
always_thought,5
wonder_if,5
ever_encountered,5
pretty_messed,5
never_worked,5
nowhere_else,5
totally_valid,5
pretty_quick,5
almost_exclusively,5
never_felt,5
ever_known,5
apparent_reason,5
pretty_damn,5
total_lack,5
go_anywhere,5
almost_nonexistent,5
wonder_whether,5
recall_correctly,5
always_felt,5
can_assure,5
gonna_try,5
partly_due,5
often_times,5
always_wondered,5
rarely_ever,5
almost_none,5
practically_every,5
never_forget,5
completely_unaware,5
perfectly_safe,5
any_sane,5
nothing_compared,5
virtually_any,5
pretty_common,5
kinda_weird,5
totally_understand,5
nearly_years,5
absolutely_essential,5
never_cared,5
anyhow,5
pretty_fucked,5
totally_okay,5
ever_lived,5
must_admit,5
was_wondering,5
wonders,5
never_understood,5
whenever_possible,5
sad_truth,5
quite_common,5
perfectly_healthy,5
completely_normal,5
last_forever,5
somewhat_similar,5
nearly_always,5
genuine_question,5
seems_weird,5
unpopular_opinion,5
absolute_worst,5
sorta,5
nothing_stopping,5
pretty_darn,5
extremely_common,5
